;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
129;84 000 км;Renault Sandero I;450 000 ₽;2014;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/84л.с./Бензин
130;112 300 км;Renault Sandero I;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/103л.с./Бензин
131;21 450 км;Renault Sandero II Stepway;579 000 ₽;2018;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/82л.с./Бензин
132;204 375 км;Renault Sandero I Stepway;455 000 ₽;2013;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
133;116 000 км;Renault Sandero I Stepway;520 100 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
134;169 800 км;Renault Sandero I Stepway;460 000 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
135;6 700 км;Renault Sandero II Рестайлинг Stepway;770 000 ₽;2020;механика;хэтчбек 5 дв.;передний;белый;1.6 л/82л.с./Бензин
136;53 600 км;Renault Sandero II Stepway;785 000 ₽;2017;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/113л.с./Бензин
137;47 759 км;Renault Sandero I Stepway;556 000 ₽;2014;механика;хэтчбек 5 дв.;передний;коричневый;1.6 л/84л.с./Бензин
138;72 658 км;Renault Sandero II;453 000 ₽;2015;механика;хэтчбек 5 дв.;передний;красный;1.6 л/82л.с./Бензин
139;106 000 км;Renault Sandero I;399 000 ₽;2011;механика;хэтчбек 5 дв.;передний;голубой;1.6 л/84л.с./Бензин
140;35 710 км;Renault Sandero II Stepway;725 000 ₽;2017;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/82л.с./Бензин
141;49 985 км;Renault Sandero II;450 000 ₽;2015;механика;хэтчбек 5 дв.;передний;серый;1.2 л/75л.с./Бензин
142;34 679 км;Renault Sandero II Stepway;660 000 ₽;2015;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
143;75 000 км;Renault Sandero II;640 000 ₽;2016;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
144;225 000 км;Renault Sandero I;339 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.4 л/75л.с./Бензин
145;108 802 км;Renault Sandero I;397 000 ₽;2011;механика;хэтчбек 5 дв.;передний;синий;1.6 л/84л.с./Бензин
146;45 000 км;Renault Sandero II Stepway;720 000 ₽;2017;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/113л.с./Бензин
147;65 878 км;Renault Sandero I Stepway;485 000 ₽;2013;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/84л.с./Бензин
148;30 000 км;Renault Sandero II;750 000 ₽;2015;автомат;хэтчбек 5 дв.;передний;коричневый;1.6 л/102л.с./Бензин
149;40 000 км;Renault Sandero II Stepway;730 000 ₽;2017;механика;хэтчбек 5 дв.;передний;красный;1.6 л/113л.с./Бензин
150;233 000 км;Renault Sandero I;320 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.4 л/75л.с./Бензин
151;Новый;Renault Sandero II Рестайлинг;916 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Life;1.6 л/113л.с./Бензин
